sample_id,adm1_name,reference_date,quarter,acquisition_datetime,stac_item_id,scene_cloud_cover,center_lat,center_lon,patch_meters,patch_pixels,valid_fraction,ndvi_mean,ndvi_std,shard_file,array_index,source_collection,source_platform
nusa_tenggara_timur_2024_q3,NUSA TENGGARA TIMUR,2024-07-01,3,2024-08-10T02:04:49.024000+00:00,S2B_MSIL2A_20240810T020449_R017_T51LVK_20240810T043852,0.000637,-9.655,122.21,6400.0,64,1.0,-0.01252373494207859,0.0017958430107682943,chips/sentinel2_quarterly_2024.npz,90,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_timur_2024_q4,NUSA TENGGARA TIMUR,2024-10-01,4,2024-10-29T02:03:09.024000+00:00,S2B_MSIL2A_20241029T020309_R017_T51LVK_20241029T040041,0.149293,-9.655,122.21,6400.0,64,1.0,-0.012699748389422894,0.003678650362417102,chips/sentinel2_quarterly_2024.npz,91,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_2024_q1,PAPUA,2024-01-01,1,2024-03-25T01:07:29.024000+00:00,S2B_MSIL2A_20240325T010729_R045_T54MUA_20240325T041556,30.549508,-3.725,139.67000000000002,6400.0,64,0.694580078125,0.46190589666366577,0.15795917809009552,chips/sentinel2_quarterly_2024.npz,92,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_2024_q2,PAPUA,2024-04-01,2,2024-04-24T01:07:29.024000+00:00,S2B_MSIL2A_20240424T010729_R045_T54MUA_20240424T034200,33.864254,-3.725,139.67000000000002,6400.0,64,0.761474609375,0.45688384771347046,0.1838720589876175,chips/sentinel2_quarterly_2024.npz,93,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_2024_q3,PAPUA,2024-07-01,3,2024-07-28T01:07:31.024000+00:00,S2A_MSIL2A_20240728T010731_R045_T54MUA_20240728T054249,45.766416,-3.725,139.67000000000002,6400.0,64,0.732421875,0.45687630772590637,0.1828380525112152,chips/sentinel2_quarterly_2024.npz,94,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_2024_q4,PAPUA,2024-10-01,4,2024-11-20T01:07:29.024000+00:00,S2B_MSIL2A_20241120T010729_R045_T54MUA_20241120T022734,39.034903,-3.725,139.67000000000002,6400.0,64,0.874267578125,0.4841099679470062,0.1855674535036087,chips/sentinel2_quarterly_2024.npz,95,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_barat_2024_q1,PAPUA BARAT,2024-01-01,1,2024-03-29T01:37:11.024000+00:00,S2A_MSIL2A_20240329T013711_R031_T52MHE_20240330T071708,26.722988,-0.87,132.67000000000002,6400.0,64,0.001708984375,0.41352930665016174,0.13799333572387695,chips/sentinel2_quarterly_2024.npz,96,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_barat_2024_q2,PAPUA BARAT,2024-04-01,2,2024-05-18T01:37:01.024000+00:00,S2A_MSIL2A_20240518T013701_R031_T53MKV_20240518T061723,7.040636,-0.87,132.67000000000002,6400.0,64,0.926513671875,0.5189937353134155,0.06706482917070389,chips/sentinel2_quarterly_2024.npz,97,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_barat_2024_q3,PAPUA BARAT,2024-07-01,3,2024-09-25T01:37:01.024000+00:00,S2A_MSIL2A_20240925T013701_R031_T52MHE_20240925T141444,5.787059,-0.87,132.67000000000002,6400.0,64,0.6875,0.5474289059638977,0.04933776333928108,chips/sentinel2_quarterly_2024.npz,98,sentinel-2-l2a,Microsoft Planetary Computer STAC
papua_barat_2024_q4,PAPUA BARAT,2024-10-01,4,2024-10-25T01:37:01.024000+00:00,S2A_MSIL2A_20241025T013701_R031_T52MHE_20241025T040550,15.08785,-0.87,132.67000000000002,6400.0,64,0.4541015625,0.5294586420059204,0.08308040350675583,chips/sentinel2_quarterly_2024.npz,99,sentinel-2-l2a,Microsoft Planetary Computer STAC
riau_2024_q1,RIAU,2024-01-01,1,2024-03-13T03:25:19.024000+00:00,S2B_MSIL2A_20240313T032519_R018_T47NQA_20240313T170136,53.751808,0.505,101.45,6400.0,64,0.294921875,0.2099492847919464,0.14867955446243286,chips/sentinel2_quarterly_2024.npz,100,sentinel-2-l2a,Microsoft Planetary Computer STAC
riau_2024_q2,RIAU,2024-04-01,2,2024-05-17T03:25:21.024000+00:00,S2A_MSIL2A_20240517T032521_R018_T47NQA_20240517T190309,26.791412,0.505,101.45,6400.0,64,0.942138671875,0.23982127010822296,0.15962956845760345,chips/sentinel2_quarterly_2024.npz,101,sentinel-2-l2a,Microsoft Planetary Computer STAC
riau_2024_q3,RIAU,2024-07-01,3,2024-07-11T03:25:19.024000+00:00,S2B_MSIL2A_20240711T032519_R018_T47NQA_20240711T091356,12.136421,0.505,101.45,6400.0,64,0.42431640625,0.21811963617801666,0.15323884785175323,chips/sentinel2_quarterly_2024.npz,102,sentinel-2-l2a,Microsoft Planetary Computer STAC
riau_2024_q4,RIAU,2024-10-01,4,2024-12-08T03:30:39.024000+00:00,S2B_MSIL2A_20241208T033039_R018_T47NQA_20241208T071110,36.629313,0.505,101.45,6400.0,64,0.572021484375,0.24249908328056335,0.1663164496421814,chips/sentinel2_quarterly_2024.npz,103,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_barat_2024_q1,SULAWESI BARAT,2024-01-01,1,2024-02-28T02:23:29.024000+00:00,S2B_MSIL2A_20240228T022329_R103_T50MQB_20240228T051958,13.586782,-3.045,118.93,6400.0,64,0.445068359375,0.56260746717453,0.05086197704076767,chips/sentinel2_quarterly_2024.npz,104,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_barat_2024_q2,SULAWESI BARAT,2024-04-01,2,2024-06-27T02:23:29.024000+00:00,S2B_MSIL2A_20240627T022329_R103_T50MQB_20240627T065838,7.38363,-3.045,118.93,6400.0,64,0.654052734375,0.5253660082817078,0.09467975795269012,chips/sentinel2_quarterly_2024.npz,105,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_barat_2024_q3,SULAWESI BARAT,2024-07-01,3,2024-08-16T02:23:29.024000+00:00,S2B_MSIL2A_20240816T022329_R103_T50MQB_20240816T055921,10.09344,-3.045,118.93,6400.0,64,0.643310546875,0.563572108745575,0.07733377069234848,chips/sentinel2_quarterly_2024.npz,106,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_barat_2024_q4,SULAWESI BARAT,2024-10-01,4,2024-10-30T02:23:31.024000+00:00,S2A_MSIL2A_20241030T022331_R103_T50MQB_20241030T052004,19.735707,-3.045,118.93,6400.0,64,0.681640625,0.44149062037467957,0.1751936376094818,chips/sentinel2_quarterly_2024.npz,107,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_selatan_2024_q1,SULAWESI SELATAN,2024-01-01,1,2024-02-28T02:23:29.024000+00:00,S2B_MSIL2A_20240228T022329_R103_T50MRV_20240228T053349,5.544612,-4.55,120.195,6400.0,64,0.989013671875,0.5210316777229309,0.08347618579864502,chips/sentinel2_quarterly_2024.npz,108,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_selatan_2024_q2,SULAWESI SELATAN,2024-04-01,2,2024-04-18T02:23:29.024000+00:00,S2B_MSIL2A_20240418T022329_R103_T50MRA_20240418T054701,14.11816,-4.55,120.195,6400.0,64,0.651123046875,0.4554576575756073,0.14052079617977142,chips/sentinel2_quarterly_2024.npz,109,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_selatan_2024_q3,SULAWESI SELATAN,2024-07-01,3,2024-08-31T02:23:21.024000+00:00,S2A_MSIL2A_20240831T022321_R103_T50MRV_20240831T053446,13.10562,-4.55,120.195,6400.0,64,0.50830078125,0.4651542007923126,0.11296474933624268,chips/sentinel2_quarterly_2024.npz,110,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_selatan_2024_q4,SULAWESI SELATAN,2024-10-01,4,2024-10-30T02:23:31.024000+00:00,S2A_MSIL2A_20241030T022331_R103_T50MRA_20241030T052004,31.090865,-4.55,120.195,6400.0,64,0.6923828125,0.3887256383895874,0.17821867763996124,chips/sentinel2_quarterly_2024.npz,111,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tengah_2024_q1,SULAWESI TENGAH,2024-01-01,1,2024-02-18T02:23:29.024000+00:00,S2B_MSIL2A_20240218T022329_R103_T50MRD_20240218T063937,10.666614,-0.91,119.88,6400.0,64,0.625,0.21788015961647034,0.14547346532344818,chips/sentinel2_quarterly_2024.npz,112,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tengah_2024_q2,SULAWESI TENGAH,2024-04-01,2,2024-05-08T02:23:29.024000+00:00,S2B_MSIL2A_20240508T022329_R103_T50MRE_20240508T052221,21.546705,-0.91,119.88,6400.0,64,0.991943359375,0.19825099408626556,0.1509922742843628,chips/sentinel2_quarterly_2024.npz,113,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tengah_2024_q3,SULAWESI TENGAH,2024-07-01,3,2024-08-16T02:23:29.024000+00:00,S2B_MSIL2A_20240816T022329_R103_T50MRD_20240816T055921,10.455593,-0.91,119.88,6400.0,64,0.625,0.21981552243232727,0.13955006003379822,chips/sentinel2_quarterly_2024.npz,114,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tengah_2024_q4,SULAWESI TENGAH,2024-10-01,4,2024-10-05T02:06:49.024000+00:00,S2B_MSIL2A_20241005T020649_R103_T50MRD_20241005T042030,28.814867,-0.91,119.88,6400.0,64,0.068359375,0.2022489458322525,0.12661027908325195,chips/sentinel2_quarterly_2024.npz,115,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tenggara_2024_q1,SULAWESI TENGGARA,2024-01-01,1,2024-03-01T02:13:41.024000+00:00,S2A_MSIL2A_20240301T021341_R060_T51MVQ_20240301T072727,12.094548,-4.715,122.555,6400.0,64,0.74169921875,0.41202372312545776,0.23296140134334564,chips/sentinel2_quarterly_2024.npz,116,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tenggara_2024_q2,SULAWESI TENGGARA,2024-04-01,2,2024-05-20T02:13:41.024000+00:00,S2A_MSIL2A_20240520T021341_R060_T51MVQ_20240520T081304,26.211771,-4.715,122.555,6400.0,64,0.421630859375,0.3862294852733612,0.23392949998378754,chips/sentinel2_quarterly_2024.npz,117,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tenggara_2024_q3,SULAWESI TENGGARA,2024-07-01,3,2024-07-19T02:13:41.024000+00:00,S2A_MSIL2A_20240719T021341_R060_T51MVQ_20240719T062420,27.475876,-4.715,122.555,6400.0,64,0.876953125,0.4301636219024658,0.18842238187789917,chips/sentinel2_quarterly_2024.npz,118,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_tenggara_2024_q4,SULAWESI TENGGARA,2024-10-01,4,2024-10-27T02:13:41.024000+00:00,S2A_MSIL2A_20241027T021341_R060_T51MVQ_20241027T051445,17.763469,-4.715,122.555,6400.0,64,0.8134765625,0.36068496108055115,0.195302814245224,chips/sentinel2_quarterly_2024.npz,119,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_utara_2024_q1,SULAWESI UTARA,2024-01-01,1,2024-02-15T02:13:49.024000+00:00,S2B_MSIL2A_20240215T021349_R060_T51NXA_20240215T052617,2.656736,0.74,124.32,6400.0,64,0.99365234375,0.3893236815929413,0.16193391382694244,chips/sentinel2_quarterly_2024.npz,120,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_utara_2024_q2,SULAWESI UTARA,2024-04-01,2,2024-04-15T02:13:49.024000+00:00,S2B_MSIL2A_20240415T021349_R060_T51NXA_20240415T053454,6.960413,0.74,124.32,6400.0,64,0.994873046875,0.3859088122844696,0.16188596189022064,chips/sentinel2_quarterly_2024.npz,121,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_utara_2024_q3,SULAWESI UTARA,2024-07-01,3,2024-07-29T02:13:51.024000+00:00,S2A_MSIL2A_20240729T021351_R060_T51NXA_20240729T081053,27.624512,0.74,124.32,6400.0,64,0.96728515625,0.37762442231178284,0.16540615260601044,chips/sentinel2_quarterly_2024.npz,122,sentinel-2-l2a,Microsoft Planetary Computer STAC
sulawesi_utara_2024_q4,SULAWESI UTARA,2024-10-01,4,2024-11-06T02:13:41.024000+00:00,S2A_MSIL2A_20241106T021341_R060_T51NXA_20241106T051103,31.613436,0.74,124.32,6400.0,64,0.989990234375,0.36783090233802795,0.170030876994133,chips/sentinel2_quarterly_2024.npz,123,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_barat_2024_q1,SUMATERA BARAT,2024-01-01,1,2024-03-18T03:25:21.024000+00:00,S2A_MSIL2A_20240318T032521_R018_T47MPV_20240318T091631,29.315701,-0.605,100.37,6400.0,64,0.7294921875,0.48935839533805847,0.11657722294330597,chips/sentinel2_quarterly_2024.npz,124,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_barat_2024_q2,SUMATERA BARAT,2024-04-01,2,2024-05-27T03:25:21.024000+00:00,S2A_MSIL2A_20240527T032521_R018_T47MPV_20240527T101302,24.380717,-0.605,100.37,6400.0,64,0.697021484375,0.4892593026161194,0.11097070574760437,chips/sentinel2_quarterly_2024.npz,125,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_barat_2024_q3,SUMATERA BARAT,2024-07-01,3,2024-07-11T03:25:19.024000+00:00,S2B_MSIL2A_20240711T032519_R018_T47MPV_20240711T091400,2.773824,-0.605,100.37,6400.0,64,0.990234375,0.5272044539451599,0.09469352662563324,chips/sentinel2_quarterly_2024.npz,126,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_barat_2024_q4,SUMATERA BARAT,2024-10-01,4,2024-10-19T03:26:49.024000+00:00,S2B_MSIL2A_20241019T032649_R018_T47MPV_20241019T070743,22.295633,-0.605,100.37,6400.0,64,0.54345703125,0.5314740538597107,0.10469357669353485,chips/sentinel2_quarterly_2024.npz,127,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_selatan_2024_q1,SUMATERA SELATAN,2024-01-01,1,2024-02-11T03:08:51.024000+00:00,S2A_MSIL2A_20240211T030851_R075_T48MVB_20240211T071802,47.395244,-2.98,104.76,6400.0,64,0.364013671875,0.14748966693878174,0.16844962537288666,chips/sentinel2_quarterly_2024.npz,128,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_selatan_2024_q2,SUMATERA SELATAN,2024-04-01,2,2024-06-05T03:05:29.024000+00:00,S2B_MSIL2A_20240605T030529_R075_T48MVB_20240605T071336,23.805091,-2.98,104.76,6400.0,64,0.97265625,0.16074791550636292,0.15210047364234924,chips/sentinel2_quarterly_2024.npz,129,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_selatan_2024_q3,SUMATERA SELATAN,2024-07-01,3,2024-07-25T03:05:29.024000+00:00,S2B_MSIL2A_20240725T030529_R075_T48MVB_20240725T063532,4.503413,-2.98,104.76,6400.0,64,0.999755859375,0.16609962284564972,0.14754582941532135,chips/sentinel2_quarterly_2024.npz,130,sentinel-2-l2a,Microsoft Planetary Computer STAC
sumatera_selatan_2024_q4,SUMATERA SELATAN,2024-10-01,4,2024-10-18T03:07:31.024000+00:00,S2A_MSIL2A_20241018T030731_R075_T48MVB_20241018T064652,0.016785,-2.98,104.76,6400.0,64,0.999755859375,0.16794328391551971,0.16242490708827972,chips/sentinel2_quarterly_2024.npz,131,sentinel-2-l2a,Microsoft Planetary Computer STAC
